id,make,model,year,price,mileage,fuel_type,transmission,color,image_url,description
f6c52054-c528-4fa3-854b-000501ef5733,Audi,A4,2019,75320,40750,Diesel,Automatic,Red,https://via.placeholder.com/600x400.png?text=Audi+A4,A well-maintained Audi A4 with excellent features and performance.
9ab02f3b-5976-44c7-a832-1962d74b18de,Mercedes,C-Class,2020,31041,139681,Electric,Manual,Black,https://via.placeholder.com/600x400.png?text=Mercedes+C-Class,A well-maintained Mercedes C-Class with excellent features and performance.
3ddfc7e3-f7c5-4cdb-a603-cd6a52e029e1,Porsche,Cayenne,2020,34581,176055,Diesel,Automatic,Blue,https://via.placeholder.com/600x400.png?text=Porsche+Cayenne,A well-maintained Porsche Cayenne with excellent features and performance.
091ba4cb-f01e-430e-9de8-10679daf37ad,Mercedes,E-Class,2011,92406,53946,Petrol,Manual,Silver,https://via.placeholder.com/600x400.png?text=Mercedes+E-Class,A well-maintained Mercedes E-Class with excellent features and performance.
9a28af1a-68db-41c6-b006-f69a1260353b,BMW,X3,2011,66014,158019,Hybrid,Automatic,Grey,https://via.placeholder.com/600x400.png?text=BMW+X3,A well-maintained BMW X3 with excellent features and performance.
d57edb17-3c44-4c53-9105-c4028ec90581,Audi,Q5,2014,39252,24420,Petrol,Manual,Red,https://via.placeholder.com/600x400.png?text=Audi+Q5,A well-maintained Audi Q5 with excellent features and performance.
4968747f-60fd-46f1-b92d-4bd1a92d5286,BMW,7 Series,2012,34868,53028,Hybrid,Manual,Red,https://via.placeholder.com/600x400.png?text=BMW+7+Series,A well-maintained BMW 7 Series with excellent features and performance.
8152d195-a21b-4c72-bb43-c6a58dcbec38,Mercedes,AMG GT,2009,111534,165847,Electric,Manual,Grey,https://via.placeholder.com/600x400.png?text=Mercedes+AMG+GT,A well-maintained Mercedes AMG GT with excellent features and performance.
c707f90b-830c-475d-95eb-b89b233f0f43,Mercedes,C-Class,2023,72023,38031,Electric,Manual,Grey,https://via.placeholder.com/600x400.png?text=Mercedes+C-Class,A well-maintained Mercedes C-Class with excellent features and performance.
a497ddc7-a41c-474f-9b9c-178291441ba8,Audi,Q5,2008,83708,125918,Electric,Manual,Red,https://via.placeholder.com/600x400.png?text=Audi+Q5,A well-maintained Audi Q5 with excellent features and performance.
8e48b5ae-bd75-44c2-81b5-fc829c42d25c,Audi,A4,2015,79458,133161,Hybrid,Automatic,Black,https://via.placeholder.com/600x400.png?text=Audi+A4,A well-maintained Audi A4 with excellent features and performance.
802ecf96-0bb4-4f1b-ae96-762dce50ea70,Audi,A4,2024,67855,160680,Diesel,Manual,Red,https://via.placeholder.com/600x400.png?text=Audi+A4,A well-maintained Audi A4 with excellent features and performance.
fba4a7ed-ccab-45ac-8fa0-920e4bf0a8c8,BMW,3 Series,2019,94998,137093,Diesel,Manual,Red,https://via.placeholder.com/600x400.png?text=BMW+3+Series,A well-maintained BMW 3 Series with excellent features and performance.
